=== ASCEND MISSION CONTROL FINAL v4.8 SESSION: 20260308_183629 ===
[18:36:29.825] MavLink Connection Established.
[18:36:45.323] SYS: Updating barometer calibration
[18:36:45.382] SYS: Barometer calibration complete
[18:36:47.619] CMD: Grounding Local Origin...
[18:36:47.812] SYS: EKF3 IMU0 origin set
[18:36:47.895] SYS: EKF3 IMU1 origin set
[18:36:47.907] SYS: Field Elevation Set: 0m
[18:36:48.790] SYS: Field Elevation Set: 0m
[18:36:49.829] SYS: Field Elevation Set: 0m
[18:36:50.859] SYS: Field Elevation Set: 0m
[18:36:51.898] SYS: Field Elevation Set: 0m
[18:36:52.795] SYS: Field Elevation Set: 0m
[18:36:53.834] SYS: Field Elevation Set: 0m
[18:36:54.870] SYS: Field Elevation Set: 0m
[18:36:55.040] SAFETY: Rangefinder blocked/Near zero. Check sensor.
[18:36:55.909] SYS: Field Elevation Set: 0m
[18:36:56.801] SYS: Field Elevation Set: 0m
[18:36:57.840] SYS: Field Elevation Set: 0m
[18:36:58.740] SYS: Field Elevation Set: 0m
[18:36:59.920] SYS: Field Elevation Set: 0m
[18:37:00.959] SYS: Field Elevation Set: 0m
[18:37:01.859] SYS: Field Elevation Set: 0m
[18:37:02.759] SYS: Field Elevation Set: 0m
[18:37:03.795] SYS: Field Elevation Set: 0m
[18:37:04.845] SYS: Field Elevation Set: 0m
[18:37:05.057] SAFETY: Rangefinder blocked/Near zero. Check sensor.
[18:37:05.889] SYS: Field Elevation Set: 0m
[18:37:06.778] SYS: Field Elevation Set: 0m
[18:37:07.828] SYS: Field Elevation Set: 0m
[18:37:13.549] SAFETY: Rangefinder blocked/Near zero. Check sensor.
[18:37:18.175] SYS: Field Elevation Set: 0m
[18:37:19.217] SYS: Field Elevation Set: 0m
[18:37:20.109] SYS: Field Elevation Set: 0m
[18:37:35.789] SYS: Field Elevation Set: 0m
[18:37:36.689] SYS: Field Elevation Set: 0m
[18:37:37.730] SYS: Field Elevation Set: 0m
[18:37:38.772] SYS: Field Elevation Set: 0m
[18:37:39.664] SYS: Field Elevation Set: 0m
[18:37:40.700] SYS: Field Elevation Set: 0m
[18:37:41.739] SYS: Field Elevation Set: 0m
[18:37:42.772] SYS: Field Elevation Set: 0m
[18:37:43.816] SYS: Field Elevation Set: 0m
[18:37:44.697] SYS: Field Elevation Set: 0m
[18:37:45.736] SYS: Field Elevation Set: 0m
[18:37:46.780] SYS: Field Elevation Set: 0m
[18:37:47.652] SYS: Field Elevation Set: 0m
[18:37:48.694] SYS: Field Elevation Set: 0m
[18:37:49.736] SYS: Field Elevation Set: 0m
[18:37:50.777] SYS: Field Elevation Set: 0m
[18:37:51.819] SYS: Field Elevation Set: 0m
[18:37:52.716] SYS: Field Elevation Set: 0m
[18:37:53.755] SYS: Field Elevation Set: 0m
[18:37:54.769] SYS: Field Elevation Set: 0m
[18:37:55.811] SYS: Field Elevation Set: 0m
[18:37:56.691] SYS: Field Elevation Set: 0m
[18:37:57.713] SYS: Field Elevation Set: 0m
[18:37:58.763] SYS: Field Elevation Set: 0m
[18:37:59.655] SYS: Field Elevation Set: 0m
[18:38:00.688] SYS: Field Elevation Set: 0m
[18:38:01.724] SYS: Field Elevation Set: 0m
[18:38:02.769] SYS: Field Elevation Set: 0m
[18:38:03.658] SYS: Field Elevation Set: 0m
[18:38:04.846] SYS: Field Elevation Set: 0m
[18:38:05.735] SYS: Field Elevation Set: 0m
[18:38:06.769] SYS: Field Elevation Set: 0m
[18:38:07.813] SYS: Field Elevation Set: 0m
[18:38:08.713] SYS: Field Elevation Set: 0m
[18:38:09.749] SYS: Field Elevation Set: 0m
[18:38:10.785] SYS: Field Elevation Set: 0m
[18:38:11.674] SYS: Field Elevation Set: 0m
[18:38:12.710] SYS: Field Elevation Set: 0m
[18:38:13.749] SYS: Field Elevation Set: 0m
[18:38:14.638] SYS: Field Elevation Set: 0m
[18:38:15.832] SYS: Field Elevation Set: 0m
[18:38:16.719] SYS: Field Elevation Set: 0m
[18:38:17.760] SYS: Field Elevation Set: 0m
[18:38:18.810] SYS: Field Elevation Set: 0m
[18:38:19.696] SYS: Field Elevation Set: 0m
[18:38:20.738] SYS: Field Elevation Set: 0m
[18:38:21.774] SYS: Field Elevation Set: 0m
[18:38:22.666] SYS: Field Elevation Set: 0m
[18:38:23.696] SYS: Field Elevation Set: 0m
[18:38:24.738] SYS: Field Elevation Set: 0m
[18:38:25.752] SYS: Field Elevation Set: 0m
[18:38:26.796] SYS: Field Elevation Set: 0m
[18:38:27.688] SYS: Field Elevation Set: 0m
[18:38:28.721] SYS: Field Elevation Set: 0m
[18:38:29.760] SYS: Field Elevation Set: 0m
[18:38:30.654] SYS: Field Elevation Set: 0m
[18:38:31.840] SYS: Field Elevation Set: 0m
[18:38:32.727] SYS: Field Elevation Set: 0m
[18:38:33.740] SYS: Field Elevation Set: 0m
[18:38:34.785] SYS: Field Elevation Set: 0m
[18:38:35.671] SYS: Field Elevation Set: 0m
[18:38:36.724] SYS: Field Elevation Set: 0m
[18:38:37.737] SYS: Field Elevation Set: 0m
[18:38:38.779] SYS: Field Elevation Set: 0m
[18:38:39.649] SYS: Field Elevation Set: 0m
[18:38:40.837] SYS: Field Elevation Set: 0m
[18:38:41.724] SYS: Field Elevation Set: 0m
[18:38:42.760] SYS: Field Elevation Set: 0m
